Airline,Domestic,International,Month,Year
US AIRWAYS,5051845,0,12,2015
SOUTHWEST AIRLINES,3981323,0,12,2015
SPIRIT AIRLINES,2329351,0,12,2015
VIRGIN AMERICA,1759310,0,12,2015
BRITISH AIRWAYS,0,1666824,12,2015
AIR CANADA,0,1579860,12,2015
LUFTHANSA,0,1085132,12,2015
EMIRATES AIRLINES,0,1034533,12,2015
VIRGIN ATLANTIC,0,969533,12,2015
AIR FRANCE,0,962929,12,2015
CATHAY PACIFIC,0,848041,12,2015
CARIBBEAN AIR,0,600861,12,2015
EL AL,0,589410,12,2015
ALITALIA,0,572748,12,2015
AEROMEXICO,0,534586,12,2015
TURKISH AIR,0,511562,12,2015
UNITED,23000516,7939919,9,2017
DELTA,23799447,5594995,9,2017
JETBLUE AIRWAYS,13523923,3723652,9,2017
AMERICAN,14214055,2668994,9,2017
SOUTHWEST AIRLINES,4152356,0,9,2017
SPIRIT AIRLINES,1984738,0,9,2017
VIRGIN AMERICA,1970135,0,9,2017
AIR CANADA,0,1870189,9,2017
BRITISH AIRWAYS,0,1631159,9,2017
EMIRATES AIRLINES,0,1163713,9,2017
LUFTHANSA,0,1117217,9,2017
AIR FRANCE,0,1073946,9,2017
VIRGIN ATLANTIC,0,1006050,9,2017
NORWEGIAN AIR,0,876330,9,2017
CATHAY PACIFIC,0,784089,9,2017
ALASKA AIRLINES,619942,0,9,2017
AER LINGUS,0,616009,9,2017
EL AL,0,611024,9,2017
ALITALIA,0,594796,9,2017
WESTJET,0,540911,9,2017
UNITED,22676343,8097983,2,2017
DELTA,23774579,5527251,2,2017
JETBLUE AIRWAYS,13515451,3577243,2,2017
AMERICAN,12924245,2620027,2,2017
SOUTHWEST AIRLINES,4122180,0,2,2017
SPIRIT AIRLINES,2617585,0,2,2017
US AIRWAYS,2466303,18132,2,2017
VIRGIN AMERICA,1918220,0,2,2017
AIR CANADA,0,1784607,2,2017
BRITISH AIRWAYS,0,1683161,2,2017
LUFTHANSA,0,1114124,2,2017
EMIRATES AIRLINES,0,1097630,2,2017
AIR FRANCE,0,969120,2,2017
VIRGIN ATLANTIC,0,967418,2,2017
CATHAY PACIFIC,0,822156,2,2017
EL AL,0,615880,2,2017
ALITALIA,0,574176,2,2017
AEROMEXICO,0,545989,2,2017
SAS,0,536824,2,2017
AER LINGUS,0,536243,2,2017
UNITED,20538886,7766897,6,2015
DELTA,21009800,5130927,6,2015
JETBLUE AIRWAYS,12614647,3155082,6,2015
AMERICAN,9796742,2857293,6,2015
US AIRWAYS,4916615,0,6,2015
SOUTHWEST AIRLINES,3792556,0,6,2015
SPIRIT AIRLINES,2334604,0,6,2015
BRITISH AIRWAYS,0,1731468,6,2015
VIRGIN AMERICA,1647723,0,6,2015
AIR CANADA,0,1506856,6,2015
LUFTHANSA,0,1098833,6,2015
VIRGIN ATLANTIC,0,969506,6,2015
AIR FRANCE,0,913207,6,2015
EMIRATES AIRLINES,0,896681,6,2015
CATHAY PACIFIC,0,847587,6,2015
CARIBBEAN AIR,0,614556,6,2015
EL AL,0,576916,6,2015
ALITALIA,0,568590,6,2015
AEROMEXICO,0,508255,6,2015
SWISS INT'L AIR LINES LT,0,506469,6,2015
UNITED,23087924,7934515,10,2017
DELTA,23951064,5596007,10,2017
JETBLUE AIRWAYS,13520070,3726988,10,2017
AMERICAN,14470299,2644658,10,2017
SOUTHWEST AIRLINES,4158472,0,10,2017
SPIRIT AIRLINES,2068343,0,10,2017
VIRGIN AMERICA,1964506,0,10,2017
AIR CANADA,0,1881063,10,2017
BRITISH AIRWAYS,0,1628219,10,2017
EMIRATES AIRLINES,0,1174819,10,2017
LUFTHANSA,0,1115447,10,2017
AIR FRANCE,0,1087003,10,2017
VIRGIN ATLANTIC,0,1004589,10,2017
NORWEGIAN AIR,0,935497,10,2017
CATHAY PACIFIC,0,777681,10,2017
ALASKA AIRLINES,663672,0,10,2017
EL AL,0,619283,10,2017
AER LINGUS,0,616696,10,2017
ALITALIA,0,594163,10,2017
WESTJET,0,552713,10,2017
UNITED,23027931,7983981,11,2017
DELTA,23969981,5624075,11,2017
JETBLUE AIRWAYS,13482592,3727396,11,2017
AMERICAN,14467771,2631445,11,2017
SOUTHWEST AIRLINES,4187003,0,11,2017
SPIRIT AIRLINES,2060791,0,11,2017
VIRGIN AMERICA,1948769,0,11,2017
AIR CANADA,0,1894254,11,2017
BRITISH AIRWAYS,0,1628210,11,2017
EMIRATES AIRLINES,0,1184003,11,2017
LUFTHANSA,0,1123430,11,2017
AIR FRANCE,0,1095518,11,2017
NORWEGIAN AIR,0,998888,11,2017
VIRGIN ATLANTIC,0,997713,11,2017
CATHAY PACIFIC,0,777579,11,2017
ALASKA AIRLINES,705215,0,11,2017
AER LINGUS,0,618046,11,2017
