Airline,Domestic,International,Month,Year
JETBLUE AIRWAYS,13281996,3518474,4,2016
AMERICAN,10287042,2622850,4,2016
US AIRWAYS,5197424,0,4,2016
SOUTHWEST AIRLINES,4099627,0,4,2016
SPIRIT AIRLINES,2365811,0,4,2016
VIRGIN AMERICA,1819799,0,4,2016
BRITISH AIRWAYS,0,1660944,4,2016
AIR CANADA,0,1598435,4,2016
LUFTHANSA,0,1097157,4,2016
EMIRATES AIRLINES,0,1068205,4,2016
VIRGIN ATLANTIC,0,994182,4,2016
AIR FRANCE,0,980326,4,2016
CATHAY PACIFIC,0,835747,4,2016
EL AL,0,599872,4,2016
ALITALIA,0,574436,4,2016
CARIBBEAN AIR,0,566710,4,2016
TURKISH AIR,0,534210,4,2016
AEROMEXICO,0,527166,4,2016
UNITED,20142367,7624124,4,2014
DELTA,19244005,5023933,4,2014
JETBLUE AIRWAYS,11883710,2786416,4,2014
AMERICAN,9926302,3337337,4,2014
US AIRWAYS,4997068,0,4,2014
SOUTHWEST AIRLINES,3257559,0,4,2014
SPIRIT AIRLINES,2312554,0,4,2014
BRITISH AIRWAYS,0,1656731,4,2014
AIR CANADA,0,1383470,4,2014
VIRGIN AMERICA,1350260,0,4,2014
LUFTHANSA,0,1050235,4,2014
VIRGIN ATLANTIC,0,1006231,4,2014
AIR FRANCE,0,931801,4,2014
EMIRATES AIRLINES,0,716405,4,2014
CATHAY PACIFIC,0,682619,4,2014
CARIBBEAN AIR,0,589211,4,2014
EL AL,0,571946,4,2014
SWISS INT'L AIR LINES LT,0,535325,4,2014
ALITALIA,0,528348,4,2014
TURKISH AIR,0,505284,4,2014
CONTINENTAL,15880324,7541608,3,2012
DELTA,16230276,4222639,3,2012
AMERICAN,10638898,3776151,3,2012
JETBLUE AIRWAYS,11711728,2234603,3,2012
US AIRWAYS,6094358,0,3,2012
UNITED,3989270,260292,3,2012
SOUTHWEST AIRLINES,1612358,0,3,2012
BRITISH AIRWAYS,0,1534390,3,2012
AIRTRAN AIRWAYS,1231869,0,3,2012
AIR CANADA,0,1208861,3,2012
LUFTHANSA,0,1199539,3,2012
SPIRIT AIRLINES,1191532,0,3,2012
VIRGIN AMERICA,1008873,0,3,2012
AIR FRANCE,0,1003240,3,2012
VIRGIN ATLANTIC,0,911370,3,2012
CATHAY PACIFIC,0,714195,3,2012
CARIBBEAN AIR,0,630394,3,2012
FRONTIER AIRLINES,626862,0,3,2012
EL AL,0,561180,3,2012
EMIRATES AIRLINES & SK,0,507310,3,2012
CONTINENTAL,16770481,7715914,10,2010
DELTA,15873486,4392210,10,2010
JETBLUE AIRWAYS,11667774,1962034,10,2010
AMERICAN,9745576,3608921,10,2010
US AIRWAYS,6051291,4066,10,2010
UNITED,3628407,184,10,2010
AIRTRAN AIRWAYS,1282471,0,10,2010
BRITISH AIRWAYS,0,1247784,10,2010
AIR CANADA,0,1121403,10,2010
SPIRIT AIRLINES,1048662,0,10,2010
LUFTHANSA,0,1031698,10,2010
AIR FRANCE,0,1017355,10,2010
VIRGIN ATLANTIC,0,926995,10,2010
VIRGIN AMERICA,888843,0,10,2010
SOUTHWEST AIRLINES,615733,0,10,2010
EL AL,0,571453,10,2010
CATHAY PACIFIC,0,551884,10,2010
ALITALIA,0,512324,10,2010
SWISS INT'L AIR LINES LT,0,430858,10,2010
AIR INDIA,0,428542,10,2010
CONTINENTAL,17121139,7467365,1,2010
DELTA,15525955,4010495,1,2010
JETBLUE AIRWAYS,11973283,1657249,1,2010
AMERICAN,9564236,3538808,1,2010
US AIRWAYS,6158072,9137,1,2010
UNITED,3696087,0,1,2010
BRITISH AIRWAYS,0,1464396,1,2010
AIRTRAN AIRWAYS,1266972,0,1,2010
AIR FRANCE,0,1059924,1,2010
AIR CANADA,0,1049235,1,2010
LUFTHANSA,0,1025621,1,2010
SPIRIT AIRLINES,985855,0,1,2010
VIRGIN AMERICA,912152,0,1,2010
VIRGIN ATLANTIC,0,876399,1,2010
EL AL,0,563530,1,2010
CATHAY PACIFIC,0,519606,1,2010
ALITALIA,0,486818,1,2010
AIR INDIA,0,437542,1,2010
AER LINGUS,0,417361,1,2010
EMIRATES AIRLINES & SK,0,392109,1,2010
CONTINENTAL,16235267,7769871,4,2011
DELTA,16195048,4604957,4,2011
AMERICAN,10130927,3766224,4,2011
JETBLUE AIRWAYS,11567862,1999163,4,2011
US AIRWAYS,6013248,0,4,2011
UNITED,3691722,0,4,2011
BRITISH AIRWAYS,0,1300659,4,2011
AIRTRAN AIRWAYS,1288331,0,4,2011
AIR CANADA,0,1141249,4,2011
LUFTHANSA,0,1099002,4,2011
SPIRIT AIRLINES,1082572,0,4,2011
AIR FRANCE,0,1060326,4,2011
VIRGIN AMERICA,925836,0,4,2011
VIRGIN ATLANTIC,0,893142,4,2011
SOUTHWEST AIRLINES,678530,0,4,2011
EL AL,0,569558,4,2011
CATHAY PACIFIC,0,567303,4,2011
ALITALIA,0,495362,4,2011
FRONTIER AIRLINES,464634,0,4,2011
EMIRATES AIRLINES & SK,0,461856,4,2011
UNITED,20021735,7683077,10,2014
DELTA,19992559,5092730,10,2014
JETBLUE AIRWAYS,11987432,3013972,10,2014
AMERICAN,9722168,3115697,10,2014
US AIRWAYS,4947548,0,10,2014
SOUTHWEST AIRLINES,3564005,0,10,2014
SPIRIT AIRLINES,2323641,0,10,2014
BRITISH AIRWAYS,0,1708531,10,2014
AIR CANADA,0,1454144,10,2014
VIRGIN AMERICA,1433717,0,10,2014
LUFTHANSA,0,1111853,10,2014
VIRGIN ATLANTIC,0,983419,10,2014
AIR FRANCE,0,892288,10,2014
EMIRATES AIRLINES,0,811603,10,2014
CATHAY PACIFIC,0,807249,10,2014
CARIBBEAN AIR,0,567750,10,2014
EL AL,0,565568,10,2014
ALITALIA,0,561577,10,2014
SWISS INT'L AIR LINES LT,0,522863,10,2014
TURKISH AIR,0,512178,10,2014
CONTINENTAL,16968595,7591188,6,2010
DELTA,15544030,4216620,6,2010
